Actions #,Coût par action (en euros),Bénéfice (après 2 ans)
Action-1,218,39
Action-2,201,2
Action-3,40,41
Action-4,120,1
Action-5,79,32
Action-6,293,17
Action-7,310,45
Action-8,141,22
Action-9,43,12
Action-10,403,42
Action-11,427,24
Action-12,124,20
Action-13,424,39
Action-14,199,42
Action-15,300,15
Action-16,210,41
Action-17,142,34
Action-18,471,42
Action-19,145,20
Action-20,368,26
Action-21,372,44
Action-22,271,48
Action-23,215,27
Action-24,494,6
Action-25,371,42
Action-26,282,7
Action-27,22,35
Action-28,177,45
Action-29,227,25
Action-30,177,5
Action-31,243,23
Action-32,217,7
Action-33,92,3
Action-34,352,47
Action-35,269,27
Action-36,479,35
Action-37,351,43
Action-38,112,32
Action-39,85,33
Action-40,9,7
Action-41,33,2
Action-42,447,5
Action-43,458,10
Action-44,255,48
Action-45,207,15
Action-46,31,6
Action-47,352,16
Action-48,67,29
Action-49,100,42
Action-50,499,40
Action-51,393,39
Action-52,110,40
Action-53,71,11
Action-54,339,39
Action-55,11,28
Action-56,479,48
Action-57,195,38
Action-58,142,45
Action-59,341,45
Action-60,445,37
Action-61,384,41
Action-62,53,26
Action-63,227,18
Action-64,274,4
Action-65,79,34
Action-66,499,13
Action-67,294,27
Action-68,333,8
Action-69,126,16
Action-70,107,8
Action-71,333,45
Action-72,163,5
Action-73,92,17
Action-74,353,2
Action-75,142,30
Action-76,299,15
Action-77,59,42
Action-78,294,9
Action-79,435,42
Action-80,416,23
Action-81,82,38
Action-82,216,31
Action-83,252,3
Action-84,301,32
Action-85,460,27
Action-86,140,2
Action-87,178,43
Action-88,484,44
Action-89,258,0
Action-90,36,1
Action-91,473,13
Action-92,246,3
Action-93,368,8
Action-94,15,20
Action-95,338,45
Action-96,419,17
Action-97,18,40
Action-98,77,45
Action-99,205,36
Action-100,186,26
Action-101,412,3
Action-102,29,42
Action-103,224,9
Action-104,115,0
Action-105,433,36
Action-106,400,5
Action-107,323,30
Action-108,488,6
Action-109,435,37
Action-110,477,6
Action-111,39,27
Action-112,240,31
Action-113,489,44
Action-114,449,33
Action-115,499,37
Action-116,310,24
Action-117,106,6
Action-118,13,40
Action-119,181,49
Action-120,464,38
Action-121,224,46
Action-122,267,48
Action-123,278,19
Action-124,261,43
Action-125,391,28
Action-126,78,38
Action-127,280,45
Action-128,318,40
Action-129,51,6
Action-130,193,10
Action-131,50,17
Action-132,465,23
Action-133,329,18
Action-134,156,33
Action-135,498,31
Action-136,330,39
Action-137,372,13
